q_to_lab,q_to_pin,v_to_lab,v_to_pin,joint_to_lab,joint_to_pin
0,0,0,0,0,0
1,1,1,1,3,6
2,2,2,2,6,12
3,3,3,3,9,1
4,4,4,4,13,7
5,5,5,5,17,13
6,6,6,6,1,2
7,7,9,12,4,8
10,13,12,18,7,14
13,19,15,7,10,3
16,8,19,13,14,9
20,14,23,19,18,15
24,20,7,8,2,22
8,9,10,14,5,4
11,15,13,20,8,10
14,21,16,9,11,16
17,10,20,15,15,23
21,16,24,21,19,5
25,22,8,28,21,11
9,29,11,10,23,17
12,11,14,16,25,24
15,17,17,22,27,18
18,23,21,29,12,25
22,30,25,11,16,19
26,12,27,17,20,26
28,18,29,23,22,20
30,24,31,30,24,27
32,31,33,24,26,21
34,25,18,31,28,28
19,32,22,25,,
23,26,26,32,,
27,33,28,26,,
29,27,30,33,,
31,34,32,27,,
33,28,34,34,,
35,35,,,,
